"ACTIVITY_ID","CASE_NUMBER","FED_PENALTY","ST_LCL_PENALTY","TOTAL_SEP","COMPLIANCE_ACTION_COST","FEDERAL_COST_RECOVERY_AMT","STATE_LOCAL_COST_RECOVERY_AMT","PENALTY_COLLECTED_AMT"
"1400033970","04-2009-3024","2805","0","0","200",,,"2805"
"600081584","06-2008-1779","1800","0","0","1800",,,"1800"
"1400023132","07-2009-0038","0","0","0","6300000",,,"0"
"98766","09-2003-0074","55000","0","0","0",,,"55000"
"1400020112","06-2009-3535","1500","0","0","0",,,"1500"
"1400027813","06-2009-3557","1000","0","0","0",,,"1000"
"1000009915","06-2008-2008","0","0","0","350",,,"0"
"1400008473","02-2008-3405","48000","0","0","0",,,"0"
"1400035760","08-2009-0056","0","0","0","245",,,"0"
"1400036000","02-2009-7970","150","0","0","450",,,"0"
"1400032211","06-2009-4304","500","0","0","500",,,"500"
"1400034752","03-2009-0074","22758","0","0","1200",,,"0"
"1400035502","04-2009-4782","0","0","0","5000",,,"0"
"1400007932","06-2008-1846","0","0","0","2000",,,"0"
"1400036832","04-2009-2607","18633","0","0","1500",,,"18633"
"1400028571","09-2009-5027","5000","0","0","0",,,"5000"
"1400036874","01-2009-2045","0","0","0","30000",,,"0"
"1400017762","10-2009-0053","7450","0","0","1000",,,"7450"
"1400029730","06-2009-3570","1050","0","0","1200",,,"1050"
"1400033192","02-2009-7957","300","0","0","1500",,,"0"
"1400021617","01-2009-1102","0","0","0","100",,,"0"
"160964","02-2005-0025","0","0","0","2680000",,,"0"
"1400035516","05-2009-3809","2400","0","0","0",,,"2400"
"600014796","05-2006-0744","0","0","0","0",,,"0"
"1400046108","01-2009-2057","3000","0","0","28505",,,"3000"
"1400033559","06-2009-1749","0","0","0","6000",,,"0"
"1400036576","04-2009-5135","3139","0","0","5345.78",,,"3139"
"1400037258","06-2009-1804","0","0","0","4000",,,"0"
"1400037592","02-2009-1202","1425","0","0","2000",,,"0"
"1400009386","06-2008-0616","0","0","0","1000",,,"0"
"1400036718","04-2009-1777","0","0","0","100",,,"0"
"1400037172","04-2009-4777","0","0","0","100",,,"0"
"1400031621","10-2009-0127","120","0","0","265",,,"120"
"1400024532","10-2009-0093","2000","0","0","50",,,"2000"
"1400013820","01-2009-3103","11132","0","0","0",,,"0"
"1000000102","07-2008-0132","255000","0","450000","35000000",,,"255000"
"1400038127","05-2009-4641","0","0","0","3460",,,"0"
"1400037488","05-2009-4639","0","0","0","1760",,,"0"
"163560","01-2005-0200","0","0","0","0",,,"0"
"1400014181","02-2009-7902","450","0","0","500",,,"0"
"600015716","02-2006-7114","2330","0","5036","5155",,,"0"
"1400037724","05-2009-0049","0","0","0","0",,,"0"
"1400038585","07-2009-0091","1200","0","0","5000",,,"1200"
"1400038692","03-2009-6018","0","0","0","1000",,,"0"
"1400029409","06-2009-1784","0","0","0","2100",,,"0"
"1000014053","10-2008-0136","134115","0","0","2500",,,"0"
"1400041866","08-2009-0093","0","0","0","130000",,,"0"
"600079413","01-2008-1022","150000","0","0","49800",,,"0"
"1400043197","04-2009-2033","13590","0","0","100",,,"13590"
"1400044393","03-2009-0028","1450","0","0","7500",,,"0"
"1400044408","03-2009-0124","0","0","0","1500",,,"0"
"1400044637","02-2009-3062","0","0","0","1000",,,"0"
