"ACTIVITY_ID","CASE_NUMBER","REGIONAL_DOCKET_NMBR"
"12577","03-1988-0633","03-88-0109NT"
"12578","03-1988-0634","03-88-0110NT"
"9083","03-1981-0108","III-82-05-VR"
"9084","03-1981-0109","III-82-06-VR"
"9085","03-1981-0110","III-82-07-VR"
"9086","03-1981-0111","III-82-08-VR"
"9087","03-1981-0112","III-82-09-VR"
"11841","03-1987-0811","III-87-003VW"
"11842","03-1987-0812","III-87-005VW"
"8314","02-2001-2010","CERCLA-02-2001-2010"
"5617","02-1996-0013","EPA-CWA-II-96-12"
"6255","02-1997-0352","II-UST-FC-347"
"6259","02-1997-0356","II TSCA-EXP-97-0114"
"6260","02-1997-0357","II-TSCA-PCB-97-0212"
"6261","02-1997-0358","II-TSCA-8A-97-0115"
"6262","02-1997-0359","II-TSCA-PCB-97-0211"
"4650","02-1993-0010","92-0112"
"4652","02-1993-0012","93-0117"
"600029966","02-2007-9112","TSCA-02-2007-9112"
"5773","02-1996-0169","96-02-PWS-NY-AO-164"
"5778","02-1996-0176","96-02-PWS-PR-AO-366F"
"6263","02-1997-0360","II-EPCRA-97-0204"
"5962","02-1997-0049","EPA-CWA-II-97-12"
"6233","02-1997-0330","EPA-CWA-II-97-150"
"6234","02-1997-0331","EPA-CWA-II-97-151"
"6235","02-1997-0332","EPA-CWA-II-97-152"
"1749","02-1976-0009","76-287"
"1752","02-1976-0012","76-0424"
"2286","02-1986-0379","86-0210"
"2287","02-1986-0380","86-0108"
"2288","02-1986-0381","86-0306"
"2289","02-1986-0382","85-0110"
"2290","02-1986-0383","83-0232"
"2291","02-1986-0384","85-0115"
"2296","02-1986-0389","85-0116"
"2297","02-1986-0390","85-0108"
"2298","02-1986-0391","85-0104"
"2299","02-1986-0397","85-0114"
"2300","02-1986-0398","85-0119"
"333","01-1995-0027","TSCA-I-92-1062"
"334","01-1995-0028","TSCA I-93-1097"
"336","01-1995-0030","TSCA I-92-1063"
"600029630","01-2007-2033","CWA 311-07-017"
"11843","03-1987-0813","III-77-001VA"
"11844","03-1987-0814","III-77-002VA"
"11845","03-1987-0815","III-77-003VA"
"11846","03-1987-0816","III-77-004VA"
"11847","03-1987-0817","III-77-005VA"
"11848","03-1987-0818","III-77-006VA"
"12342","03-1988-0362","III-88-30-DC"
"12343","03-1988-0363","III-88-31-DC"
"12344","03-1988-0364","III-88-018DW"
"12345","03-1988-0365","III-88-019DW"
"12346","03-1988-0366","III-88-020DW"
"12347","03-1988-0367","III-88-021DW"
"12348","03-1988-0368","III-88-022DW"
"12349","03-1988-0369","III-88-023DW"
"12350","03-1988-0370","III-88-024DW"
"12351","03-1988-0371","III-88-025DW"
