"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","STATE_LOCAL_PENALTY_AMT","COST_RECOVERY_AMT","FED_PENALTY","COMPLIANCE_ACTION_COST","SEP_COST","PENALTY_COLLECTED_AMT"
"123312","10-2004-0168","51735",,"0","300","0",,"300"
"123314","10-2004-0171","51736",,"0","50","0",,"50"
"123315","10-2004-0169","51737",,"0","300","0",,"300"
"123316","10-2004-0170","51738",,"0","150","0",,"150"
"123318","10-2004-0172","52386",,"0","300","7000",,"300"
"123322","10-2004-0174","53276",,"0","150","504",,"150"
"127525","02-2004-0014","59860",,"0","333333","74401572","8000000",
"133591","02-2004-5206","55471",,"0","1000","48",,
"133596","02-2004-0838","53442",,"0","0","5500",,
"133621","02-2004-0837","53444",,"0","0","5500",,
"133623","05-2004-0088","53443",,"0","0","0",,
"133633","05-2004-0089","53445",,"0","0","0",,
"133674","02-2004-0804","53446",,"0","0","5500",,
"133675","05-2004-0090","53449",,"0","40040","0",,
"133683","05-2004-0091","53448",,"0","16940","0",,
"133711","05-2004-0092","53450",,"0","23375","0",,
"133720","05-2004-0093","53451",,"0","5950","0",,
"132809","05-2004-9523","53368",,"0","0","500",,
"139618","05-2005-0031","54485",,"0","14000","500","24056","14000"
"139630","07-2005-0132","54486",,"0","0","1000",,
"135338","07-2005-0026","53646",,"0","8714","2382",,"8714"
"135341","04-2005-3002","55490",,"0","18490","2200",,"18657.66"
"135345","04-2005-3752","53647",,"3729.77","0","150000",,
"135348","09-2005-0001","53648",,"0","150","3046.03",,"150"
"135349","09-2005-0002","53649",,"0","600","1500",,"600"
"135350","09-2005-0003","53650",,"0","1050","10000",,"1050"
"135352","06-2005-1747","53841",,"0","0","4000",,
"135378","03-2005-0039","54479",,"0","0","1000",,
"135393","05-2003-7450","53654",,"0","0","0",,
"135397","06-2005-1718","54734",,"0","6814","10000","5857.7","6814"
"135398","06-2005-1705","54733",,"0","5000","160000",,"5000"
"135402","07-2005-0027","53655",,"0","0","7452.57",,
"135407","07-2005-0028","53656","60000","0","20000","132000",,"20000"
"135409","07-2005-0029","53657",,"0","9000","1801",,"9000"
"135419","01-2005-9001","53659",,"0","0","400",,
"135420","07-2005-0030","53660",,"0","0","15763",,
"135421","07-2005-0031","53661",,"0","0","5499",,
"135422","07-2005-0032","53662",,"0","1100","1750",,"1100"
"137681","06-2005-1829","54367",,"0","0","4000",,
"137687","06-2005-1737","54166",,"0","0","30000",,
"120026","06-2004-2194","52095",,"0","0","3000",,
"120029","06-2004-1222","51016",,"0","0","10000",,
"120032","06-2004-1223","51017",,"0","0","10000",,
"120034","06-2004-1224","51018",,"0","0","10000",,
"120036","06-2004-1994","51191",,"0","0","7000",,
"120038","06-2004-2207","51175",,"0","0","4000",,
"120041","06-2004-1228","51020",,"0","0","10000",,
"120045","06-2004-1227","51023",,"0","0","10000",,
"120048","06-2004-1226","51024",,"0","0","10000",,
"120052","06-2004-1225","51025",,"0","0","10000",,
"127872","07-2004-0280","52583",,"0","10000","10000",,"10000"
"127876","07-2004-0290","52584",,"0","0","500",,
"127881","07-2004-0291","52585",,"0","0","500",,
"127884","07-2004-0292","52586",,"0","0","500",,
"118705","05-2004-1065","50809",,"0","0","0",,
"118707","05-2004-1066","50811",,"0","0","0",,
"118711","05-2004-1067","50812",,"0","0","0",,
"118716","05-2004-1080","50813",,"0","0","0",,
"118718","HQ-2004-5015","50814","0","0","0","0",,"0"
"118722","06-2004-1978","51868",,"0","2600","2600",,"2600"
"118726","06-2004-1984","51867",,"0","2600","2600",,"2600"
"118727","06-2004-1988","51871",,"0","6050","6050",,"6050"
"87459","HQ-2002-0000","43523",,"0","20000","20000",,
"88553","HQ-2002-5040","44166",,"0","0","0",,
"88554","HQ-2002-5041","44167",,"0","0","0",,
"88555","HQ-2002-5042","44168",,"0","0","0",,
"88556","HQ-2002-5043","44169",,"0","0","0",,
"88557","HQ-2002-5044","44170",,"0","0","0",,
"88558","HQ-2002-5045","44171",,"0","0","0",,
"88559","HQ-2002-5046","44172",,"0","0","0",,
"88560","HQ-2002-5047","44173",,"0","0","0",,
"88561","HQ-2002-5048","44174",,"0","0","0",,
"88563","02-2003-7905","44175",,"0","50","0",,
"88566","09-2002-0188","44177",,"0","0","0",,"0"
"88567","09-2002-0186","44178",,"0","150975","0",,"150975"
"89495","09-2003-0002","44405",,"0","0","0",,
"89496","09-2003-0003","44406",,"0","0","0",,
"89497","09-2003-0004","44407",,"0","0","60000",,
"89498","09-2003-0005","52273",,"3774","0","0",,
"89499","09-2003-0006","44408",,"0","0","0",,
"89500","02-2003-8016","44409",,"0","0","800",,
"89501","02-2003-8017","44410",,"0","0","800",,
"89502","02-2003-8018","44411",,"0","0","800",,
"89512","02-2003-8300","44412",,"0","12500","60000",,
"89515","06-2003-1223","44413",,"0","0","0",,
